game_pk,official_date,season,home_elo,away_elo,elo_diff,home_off,home_def,away_off,away_def,home_recent_off,home_recent_def,away_recent_off,away_recent_def,home_rest,away_rest,rest_diff,home_games_played,away_games_played,home_sp_rate,away_sp_rate,home_sp_recent,away_sp_recent,home_sp_starts,away_sp_starts,home_sp_rest,away_sp_rest,home_sp_k_rate,away_sp_k_rate,home_sp_bb_rate,away_sp_bb_rate,home_sp_hr_rate,away_sp_hr_rate,home_sp_depth,away_sp_depth,home_bp_rate,away_bp_rate,home_bp_workload,away_bp_workload,park_factor,elevation_km,ump_run_rate,ump_k_rate,temp_c,air_density_index,wind_out_to_center_ms,wind_left_to_right_ms,precip_mm,roof_retractable,roof_dome,expected_home_runs_prior,expected_away_runs_prior
634655,2021-04-01,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.046020000000000005,0.0,0.0,25.0,1.04557,2.223,2.029,0.0,0,0,4.5,4.5
634576,2021-04-02,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.585365853658536,4.560975609756097,4.560975609756097,4.585365853658536,8.0,7.0,7.0,8.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.284345047923322,4.211538461538462,13.0,12.0,1.0,0.00701,0.0,0.0,15.3,1.00402,0.595,2.798,0.0,0,0,4.672351113755039,4.622777447286667
634578,2021-04-02,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.585365853658536,4.560975609756097,4.560975609756097,4.585365853658536,8.0,7.0,7.0,8.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.211538461538462,4.719869706840391,12.0,7.0,1.0,0.0030499999999999998,0.0,0.0,9.4,0.97994,-1.87,3.671,0.0,1,0,4.672351113755039,4.622777447286667
634602,2021-04-02,2021,1498.5180958426322,1501.4819041573678,21.036191685264384,4.390243902439025,4.414634146341464,4.414634146341464,4.390243902439025,0.0,1.0,1.0,0.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.16504854368932,4.077669902912621,9.0,9.0,1.0,0.0030499999999999998,0.0,0.0,20.4,1.01713,1.589,10.035,0.0,1,0,4.283164782867342,4.330887699120894
634605,2021-04-02,2021,1495.5542875278966,1504.4457124721034,15.108575055793153,4.414634146341464,4.585365853658536,4.585365853658536,4.414634146341464,1.0,8.0,8.0,1.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.485530546623794,4.16504854368932,11.0,9.0,1.0,0.0030499999999999998,0.0,0.0,12.4,0.99084,3.979,2.684,0.0,0,0,4.330887699120894,4.672351113755039
634627,2021-04-02,2021,1500.0,1500.0,24.0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,0,0,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2,4.2,0.0,0.0,1.0,0.0064,-1.7763568394002505e-15,0.0,3.8,0.95795,2.256,2.689,0.0,0,0,4.5,4.5
634631,2021-04-02,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.487804878048781,4.463414634146342,4.463414634146342,4.487804878048781,4.0,3.0,3.0,4.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.077669902912621,4.266233766233766,9.0,8.0,1.0,0.046020000000000005,0.0,0.0,19.4,1.0237,3.333,-0.564,0.0,0,0,4.47564280520854,4.4271267102914935
634653,2021-04-02,2021,1502.581369129744,1497.418630870256,29.162738259487924,4.585365853658536,4.512195121951219,4.512195121951219,4.585365853658536,8.0,5.0,5.0,8.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.3428571428571425,4.280130293159608,15.0,7.0,1.0,1.5819100000000001,0.0,0.0,19.7,1.22396,-1.039,0.968,0.0,0,0,4.672351113755039,4.524423293013417
634573,2021-04-03,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.463414634146342,4.439024390243903,4.439024390243903,4.463414634146342,3.0,2.0,2.0,3.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.2387096774193544,4.117647058823529,10.0,6.0,1.0,0.18288,0.0,0.0,9.1,0.99298,-3.99,-6.911,0.0,0,0,4.4271267102914935,4.378875008262279
634575,2021-04-03,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.536585365853658,4.512195121951219,4.512195121951219,4.536585365853658,6.0,5.0,5.0,6.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.132075471698113,4.356687898089172,18.0,14.0,1.0,0.18197,0.0,0.0,18.7,1.03506,2.78,-0.049,0.0,1,0,4.573468173706127,4.524423293013417
634577,2021-04-03,2021,1497.0361916852644,1502.9638083147356,18.07238337052877,4.390243902439025,4.463414634146342,4.463414634146342,4.390243902439025,0.0,3.0,3.0,0.0,1,1,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.22508038585209,4.117647058823529,11.0,6.0,1.0,0.0064,0.0,0.0,6.9,0.96365,-0.607,4.318,0.0,0,0,4.283164782867342,4.4271267102914935
634580,2021-04-03,2021,1501.290684564872,1498.709315435128,26.581369129743962,4.463414634146342,4.439024390243903,4.439024390243903,4.463414634146342,3.0,2.0,2.0,3.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.064516129032258,4.098726114649681,10.0,14.0,1.0,0.0060999999999999995,0.0,0.0,11.2,0.97761,-0.81,2.649,0.0,0,0,4.4271267102914935,4.378875008262279
634596,2021-04-03,2021,1496.1879981787638,1503.8120018212362,16.375996357527583,4.380952380952381,4.4523809523809526,4.4523809523809526,4.380952380952381,2.0,3.5,3.5,2.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.514018691588785,4.2884012539184955,21.0,19.0,1.0,0.0030499999999999998,0.0,0.0,20.9,1.01497,-1.353,7.672,0.0,1,0,4.265054169816075,4.405265810027715
634604,2021-04-03,2021,1502.9968767528137,1497.0031232471863,29.99375350562741,4.7317073170731705,4.634146341463414,4.634146341463414,4.7317073170731705,14.0,10.0,10.0,14.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.235294117647059,4.653250773993808,23.0,23.0,1.0,0.26091000000000003,0.0,0.0,18.9,1.04016,5.221,-0.641,0.0,0,0,4.97534536320973,4.772291625355277
634623,2021-04-03,2021,1503.3201325807192,1496.6798674192808,30.640265161438492,4.571428571428571,4.5,4.5,4.571428571428571,6.0,4.5,4.5,6.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.279141104294478,4.138888888888888,26.0,24.0,1.0,0.00701,0.0,0.0,17.6,1.01014,-2.618,4.189,0.0,0,0,4.643990929705215,4.5
634629,2021-04-03,2021,1492.1955239168062,1507.8044760831938,8.391047833612447,4.428571428571429,4.690476190476191,4.690476190476191,4.428571428571429,3.0,8.5,8.5,3.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.653250773993808,4.209230769230769,23.0,25.0,1.0,0.0030499999999999998,0.0,0.0,13.6,0.98955,3.819,1.7,0.0,0,0,4.35827664399093,4.8890148652053425
634633,2021-04-03,2021,1498.697764389707,1501.302235610293,21.39552877941378,4.619047619047619,4.666666666666667,4.666666666666667,4.619047619047619,7.0,8.0,8.0,7.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.445783132530121,4.3428571428571425,32.0,15.0,1.0,1.5819100000000001,0.0,0.0,21.8,1.23113,0.209,1.485,0.0,0,0,4.74124464600655,4.839506172839507
634639,2021-04-03,2021,1498.3063853934416,1501.6936146065584,20.612770786883175,4.5476190476190474,4.595238095238095,4.595238095238095,4.5476190476190474,5.5,6.5,6.5,5.5,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.345794392523365,4.570977917981073,21.0,17.0,1.0,0.0030499999999999998,0.0,0.0,13.8,0.99422,4.295,-2.48,0.0,1,0,4.595742000503905,4.69249181153943
634643,2021-04-03,2021,1497.6512374809092,1502.3487625190908,19.30247496181846,4.463414634146342,4.512195121951219,4.512195121951219,4.463414634146342,3.0,5.0,5.0,3.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.132075471698113,4.047169811320755,18.0,18.0,1.0,0.18136000000000002,0.0,0.0,16.6,1.02451,8.036,2.304,0.0,0,0,4.4271267102914935,4.524423293013417
634644,2021-04-03,2021,1498.5180958426322,1501.4819041573678,21.036191685264384,4.439024390243903,4.463414634146342,4.463414634146342,4.439024390243903,2.0,3.0,3.0,2.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.098726114649681,4.012738853503184,14.0,14.0,1.0,0.01676,0.0,0.0,7.8,0.96423,1.95,3.121,0.0,0,0,4.378875008262279,4.4271267102914935
634646,2021-04-03,2021,1497.8260205200254,1502.1739794799746,19.65204104005079,4.571428571428571,4.642857142857143,4.642857142857143,4.571428571428571,6.0,7.5,7.5,6.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.26605504587156,4.235294117647059,27.0,23.0,1.0,0.046020000000000005,0.0,0.0,19.9,1.02227,2.745,0.966,0.0,0,0,4.643990929705215,4.7902494331065775
634654,2021-04-03,2021,1496.1693333235414,1503.8306666764586,16.338666647082846,4.536585365853658,4.658536585365853,4.658536585365853,4.536585365853658,6.0,11.0,11.0,6.0,2,2,0,1,1,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.05993690851735,4.012738853503184,17.0,14.0,1.0,0.16307,0.0,0.0,15.2,1.0091,0.529,-5.032,0.0,0,0,4.573468173706127,4.822658470487143
634557,2021-04-04,2021,1497.2262079957563,1502.7737920042437,18.45241599151268,4.627906976744186,4.6976744186046515,4.6976744186046515,4.627906976744186,6.333333333333333,7.333333333333333,7.333333333333333,6.333333333333333,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.683139534883721,4.472222222222222,29.0,17.0,1.0,1.5819100000000001,0.0,0.0,24.0,1.23816,0.167,-0.514,0.0,0,0,4.759449552310559,4.904032209602789
634560,2021-04-04,2021,1498.8116330353487,1501.1883669646513,21.623266070697355,4.642857142857143,4.690476190476191,4.690476190476191,4.642857142857143,7.5,8.5,8.5,7.5,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.1580547112462005,4.0636363636363635,12.0,16.0,1.0,0.16307,0.0,0.0,17.5,1.02005,0.746,-1.065,0.0,0,0,4.7902494331065775,4.8890148652053425
634572,2021-04-04,2021,1507.113192609197,1492.886807390803,38.22638521839417,4.627906976744186,4.395348837209302,4.395348837209302,4.627906976744186,6.333333333333333,3.0,3.0,6.333333333333333,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.164179104477611,4.1946902654867255,22.0,27.0,1.0,0.00701,0.0,0.0,20.1,1.01917,-0.666,4.208,0.0,0,0,4.759449552310559,4.293131422390481
634593,2021-04-04,2021,1506.7976170432619,1493.2023829567381,37.59523408652376,4.880952380952381,4.619047619047619,4.619047619047619,4.880952380952381,12.5,7.0,7.0,12.5,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.120481927710843,5.177710843373494,9.0,9.0,1.0,0.26091000000000003,0.0,0.0,22.9,1.05999,4.649,-2.168,0.0,0,0,5.294154698916604,4.74124464600655
634597,2021-04-04,2021,1498.9256834260468,1501.0743165739532,21.851366852093633,4.428571428571429,4.4523809523809526,4.4523809523809526,4.428571428571429,3.0,3.5,3.5,3.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.113496932515337,4.235294117647059,8.0,9.0,1.0,0.18197,0.0,0.0,15.0,1.01974,-4.107,-0.143,0.0,1,0,4.35827664399093,4.405265810027715
634607,2021-04-04,2021,1500.5824473334362,1499.4175526665638,25.164894666872442,4.4523809523809526,4.428571428571429,4.428571428571429,4.4523809523809526,3.5,3.0,3.0,3.5,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,3.9939209726443763,4.0060975609756095,15.0,14.0,1.0,0.01676,0.0,0.0,13.3,0.99249,0.802,0.113,0.0,0,0,4.405265810027715,4.35827664399093
634610,2021-04-04,2021,1494.7247781432845,1505.2752218567155,13.449556286569077,4.333333333333333,4.4523809523809526,4.4523809523809526,4.333333333333333,1.0,3.5,3.5,1.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.151702786377709,3.9498432601880875,23.0,19.0,1.0,0.0064,0.0,0.0,12.0,0.98938,1.146,3.528,0.0,0,0,4.1728395061728385,4.405265810027715
634611,2021-04-04,2021,1503.8515628379212,1496.1484371620788,31.70312567584233,4.476190476190476,4.380952380952381,4.380952380952381,4.476190476190476,4.0,2.0,2.0,4.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.1645962732919255,4.2980769230769225,12.0,6.0,1.0,0.18288,0.0,0.0,13.7,1.00965,-0.125,1.425,0.0,0,0,4.452506928697406,4.265054169816075
634613,2021-04-04,2021,1500.69146602254,1499.30853397746,25.382932045079997,4.476190476190476,4.428571428571429,4.428571428571429,4.476190476190476,4.0,3.0,3.0,4.0,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.0183486238532105,4.100917431192661,9.0,9.0,1.0,0.18136000000000002,0.0,0.0,14.3,1.01653,-1.832,-3.757,0.0,0,0,4.452506928697406,4.35827664399093
634617,2021-04-04,2021,1504.2637721697618,1495.7362278302382,32.5275443395235,4.4523809523809526,4.333333333333333,4.333333333333333,4.4523809523809526,3.5,1.0,1.0,3.5,1,1,0,2,2,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,3.9873417721518987,4.068111455108359,6.0,9.0,1.0,0.0060999999999999995,0.0,0.0,16.5,1.00471,-1.605,1.982,0.0,0,0,4.405265810027715,4.1728395061728385
634637,2021-04-04,2021,1499.8990955904055,1500.1009044095945,23.798191180811045,4.5813953488372094,4.604651162790698,4.604651162790698,4.5813953488372094,5.666666666666667,6.0,6.0,5.666666666666667,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.1517857142857135,4.351351351351352,27.0,25.0,1.0,0.046020000000000005,0.0,0.0,20.6,1.0273,3.273,-0.613,0.0,0,0,4.664262964966047,4.711736073553272
634651,2021-04-04,2021,1487.6949633939792,1512.3050366060208,-0.6100732120416978,4.348837209302325,4.790697674418604,4.790697674418604,4.348837209302325,2.3333333333333335,8.666666666666666,8.666666666666666,2.3333333333333335,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.86053412462908,4.059347181008902,26.0,28.0,1.0,0.0030499999999999998,0.0,0.0,14.1,0.99115,3.287,0.699,0.0,0,0,4.202752238447208,5.100174268373294
634551,2021-04-05,2021,1501.334514459802,1497.517932411092,27.81658204870996,4.534883720930233,4.488372093023256,4.590909090909091,4.636363636363637,5.0,4.333333333333333,5.5,6.0,2,1,1,3,4,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.1891891891891895,4.526162790697674,12.0,21.0,1.0,0.0030499999999999998,0.0,0.0,10.1,0.98041,-0.787,0.906,0.0,1,0,4.672304439746301,4.579046276720695
634552,2021-04-05,2021,1502.482067588908,1516.4566169816003,10.025450607307675,4.636363636363637,4.590909090909091,4.886363636363637,4.295454545454546,6.0,5.5,8.75,2.25,1,1,0,4,4,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.074498567335244,3.8974358974358974,22.0,26.0,1.0,0.046020000000000005,0.0899895361004539,0.0983606557377037,18.1,1.02309,3.619,-0.548,0.0,0,0,4.425619834710744,4.985078053259872
634558,2021-04-05,2021,1503.4725399820488,1498.0233396334916,29.44920034855727,4.813953488372093,4.604651162790698,4.395348837209302,4.465116279069767,9.0,6.0,3.0,4.0,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.011730205278592,4.0,24.0,24.0,1.0,0.16307,0.0,0.0,22.0,1.04392,1.556,-3.191,0.0,0,0,4.776636019469984,4.497566252028124
634562,2021-04-05,2021,1499.6027368403027,1496.5274600179512,27.075276822351498,4.558139534883721,4.511627906976744,4.604651162790698,4.813953488372093,5.333333333333333,4.666666666666667,6.0,9.0,2,1,1,3,3,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.64516129032258,4.592920353982301,20.0,25.0,1.0,0.0030499999999999998,0.0,0.0,23.2,1.02681,-3.059,4.535,0.0,1,0,4.876149269875608,4.616549486208762
634566,2021-04-05,2021,1501.9766603665084,1494.789415971346,31.187244395162452,4.465116279069767,4.395348837209302,4.372093023255814,4.534883720930233,4.0,3.0,2.6666666666666665,5.0,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,3.979228486646884,4.446745562130177,19.0,20.0,1.0,0.18136000000000002,0.0,0.0,21.6,1.05296,4.389,-1.342,0.0,0,0,4.49972958355868,4.2704164413196315
634587,2021-04-05,2021,1498.2263546436923,1509.839699323222,12.386655320470254,4.372093023255814,4.395348837209302,4.604651162790698,4.3023255813953485,2.6666666666666665,3.0,6.0,1.6666666666666667,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,3.7867435158501435,3.841463414634146,33.0,22.0,1.0,0.01676,0.0,0.0,16.8,1.0108,3.249,4.817,0.0,0,0,4.180037257376359,4.497566252028124
634588,2021-04-05,2021,1499.6056004595378,1505.210584028654,18.395016430883743,4.441860465116279,4.488372093023256,4.534883720930233,4.372093023255814,3.6666666666666665,4.333333333333333,5.0,2.6666666666666665,1,1,0,3,3,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.594594594594595,4.164179104477611,23.0,21.0,1.0,0.18288,0.0,0.0,10.5,1.00391,-3.449,0.796,1.0,0,0,4.315606033291268,4.523165675139715
634591,2021-04-05,2021,1504.6751905411702,1498.665485540198,30.00970500097219,4.545454545454546,4.363636363636363,4.488372093023256,4.534883720930233,5.0,3.0,4.333333333333333,5.0,1,2,-1,4,3,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,3.9857142857142858,4.541538461538462,24.0,8.0,1.0,0.00701,-0.04268481286730719,0.06557377049180246,15.1,1.00705,-0.091,2.598,0.0,0,0,4.580690627202255,4.352360817477096
634600,2021-04-05,2021,1483.5433830183997,1505.087602290056,2.4557807283435977,4.295454545454546,4.886363636363637,4.681818181818182,4.568181818181818,2.25,8.75,6.5,5.25,1,1,0,4,4,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.9885714285714275,4.472727272727273,27.0,15.0,1.0,0.0030499999999999998,-0.00850030358227194,-0.016393442622950616,11.0,0.98638,3.55,1.732,0.0,0,0,4.3605371900826455,5.083792470156107
634601,2021-04-05,2021,1490.160300676778,1500.3972631596973,13.763037517080647,4.3023255813953485,4.604651162790698,4.511627906976744,4.558139534883721,1.6666666666666667,6.0,4.666666666666667,5.333333333333333,1,2,-1,3,3,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,4.290697674418605,4.785498489425981,33.0,12.0,1.0,0.0064,0.0,0.0,10.1,0.98925,-1.778,5.163,0.0,0,0,4.3579111832221615,4.616549486208762
634606,2021-04-05,2021,1505.5206570321468,1500.0,29.5206570321468,4.395348837209302,4.255813953488372,4.5,4.5,3.0,1.0,4.5,4.5,1,5,-4,3,0,4.5,4.5,4.5,4.5,0,0,5,5,0.225,0.225,0.09,0.09,0.033,0.033,16.0,16.0,3.9130434782608696,4.2,12.0,0.0,1.0,0.0060999999999999995,0.0,0.0,16.0,1.00645,-0.941,3.079,0.0,0,0,4.395348837209302,4.255813953488372
